species,decimalLongitude.new1,decimalLatitude.new1,States,Biome,Endemism,Inside_State,Inside_Biome,Inside_BR,catalogNumber,data_source,species_id,scientificName.new1,decimalLatitude,decimalLongitude,decimalLatitude.new,decimalLongitude.new,country,country.new,stateProvince.new,municipality.new,locality.new,year.new,family.new1,geo.check,geo.check1,Flagging,cult.check,loc.check1,recordedBy.new,identifiedBy.new,resol.orig,resolution.gazetteer1,Filters_ok,Country_Capital,Province_centroid,IdenticalLongLat,GBIFheadquarter,Biod_inst,Outside_coord,zero_coord,Duplicated,shore,open_sea,wrong_country,Checar_Local,Ano,Filtrador
Araucaria angustifolia,-49.2064018249512,-25.5347003936768,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,11716,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-25.5347003936768,-49.2064018249512,-25.5347003936768,-49.2064018249512,Brasil,brazil,parana,no.info,"",1996,Araucariaceae,ok_state,ok_state,Checar_local,"",check_municip.2state,"Oliveira, C.S.","Jaszczerski, J.C.",municipality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.4136009216309,-24.5093994140625,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,26397,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-24.5093994140625,-50.4136009216309,-24.5093994140625,-50.4136009216309,Brasil,brazil,parana,no.info,"",2016,Araucariaceae,ok_state,ok_state,Checar_local,"",check_municip.2state,"Vaccari, P.N.",s.n.,municipality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-51.09292,-25.148065,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,150262750,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.148065,-51.09292,-25.148065,-51.09292,Brazil,brazil,parana,no.info,prudentopolis  br pr  br,2023,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Ristow, R.","Gasperin, E.L.F.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.838347,-29.349963,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,110815521,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.349963,-50.838347,-29.349963,-50.838347,Brazil,brazil,rio grande do sul,no.info,rs 466  canela  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Friske, T.Q.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.852663,-29.312658,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,110815668,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.312658,-50.852663,-29.312658,-50.852663,Brazil,brazil,rio grande do sul,no.info,parque estadual do caracol  canela  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Monsores, D.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.815601348877,-29.3656005859375,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,117695,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-29.3656005859375,-50.815601348877,-29.3656005859375,-50.815601348877,Brasil,brazil,rio grande sul,no.info,flona de canela,2007,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Padilha, C.","Maluf, R.W.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-51.1794013977051,-29.1681003570557,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,104096,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-29.1681003570557,-51.1794013977051,-29.1681003570557,-51.1794013977051,Brasil,brazil,rio grande sul,no.info,ana rech   barragem do faxinal,1992,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Jagmin, N.",s.n.,locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.8739013671875,-29.3785991668701,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,7842,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-29.3785991668701,-50.8739013671875,-29.3785991668701,-50.8739013671875,Brasil,brazil,rio grande sul,no.info,serra grande,2004,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Marschner, D.A.",Marschner,locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.853662,-29.313058,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,110839747,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.313058,-50.853662,-29.313058,-50.853662,Brazil,brazil,rio grande do sul,no.info,parque estadual do caracol  canela  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Friske, T.Q.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-51.2299995422363,-30.0331001281738,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,91513,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-30.0331001281738,-51.2299995422363,-30.0331001281738,-51.2299995422363,Brasil,brazil,rio grande sul,no.info,bairro medianeira,1999,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Oliveira, C.M.",Oliveira,locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
