catalogNumber,data_source,species_id,species,scientificName.new1,decimalLatitude,decimalLongitude,decimalLatitude.new,decimalLongitude.new,decimalLatitude.new1,decimalLongitude.new1,country,country.new,stateProvince.new,municipality.new,locality.new,year.new,family.new1,geo.check,geo.check1,cult.check,loc.check1,recordedBy.new,identifiedBy.new,resol.orig,resolution.gazetteer1
161496747,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.370934,-51.663863,-29.370934,-51.663863,-29.370934,-51.663863,Brazil,brazil,rio grande do sul,no.info,boa vista do sul,2023,Araucariaceae,ok_county,ok_county,,check_local.2municip.,"Cortes, D.","Cortes, D.",locality,county
162197259,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-32.191007,-53.822486,-32.191007,-53.822486,-32.191007,-53.822486,Uruguay,uruguay,cerro largo,no.info,departamento de cerro largo  uruguay,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Rosa, L.V.","Rosa, L.V.",locality,state
162888872,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-22.716919,-45.559315,-22.716919,-45.559315,-22.716919,-45.559315,Brazil,brazil,sao paulo,no.info,recanto feliz  campos do jordao   sp  12460 000  brasil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Almeida, A.C.","Almeida, A.C.",locality,state
163743752,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.08015,-51.834362,-25.08015,-51.834362,-25.08015,-51.834362,Brazil,brazil,parana,no.info,campina do simao  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Silverio, A.","Silverio, A.",locality,state
163744358,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.074489,-51.832053,-25.074489,-51.832053,-25.074489,-51.832053,Brazil,brazil,parana,no.info,campina do simao  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Silverio, A.","Silverio, A.",locality,state
165217495,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-32.210107,-53.810366,-32.210107,-53.810366,-32.210107,-53.810366,Uruguay,uruguay,cerro largo,no.info,departamento de cerro largo  uruguay,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Rosa, L.V.","Rosa, L.V.",locality,state
165577390,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-27.834812,-50.3299,-27.834812,-50.3299,-27.834812,-50.3299,Brazil,brazil,santa catarina,no.info,rua joao odilo madruga  lages  sc  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Vittoor,Vittoor,locality,state
166557139,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-24.464862,-49.85558,-24.464862,-49.85558,-24.464862,-49.85558,Brazil,brazil,parana,no.info,rodovia senador flavio carvalho guimaraes  pirai do sul  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Ambrozio, A.","Ambrozio, A.",locality,state
166557185,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-24.40488,-49.862928,-24.40488,-49.862928,-24.40488,-49.862928,Brazil,brazil,parana,no.info,rodovia senador flavio carvalho guimaraes  pirai do sul  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Ambrozio, A.","Ambrozio, A.",locality,state
166557251,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-24.191778,-49.788792,-24.191778,-49.788792,-24.191778,-49.788792,Brazil,brazil,parana,no.info,rodovia governador parigot de souza  arapoti  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Ambrozio, A.","Ambrozio, A.",locality,state
166557285,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-24.075961,-49.837753,-24.075961,-49.837753,-24.075961,-49.837753,Brazil,brazil,parana,no.info,rodovia governador parigot de souza  arapoti  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Ambrozio, A.","Ambrozio, A.",locality,state
166602765,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-28.073456,-49.512302,-28.073456,-49.512302,-28.073456,-49.512302,Brazil,brazil,santa catarina,no.info,urubici  br sc  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Sandrini, J.G.","Sandrini, J.G.",locality,state
166874207,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-22.283014,-44.869878,-22.283014,-44.869878,-22.283014,-44.869878,Brazil,brazil,minas gerais,no.info,itamonte,2023,Araucariaceae,ok_county,ok_county,,check_local.2municip.,"Maciel, W.R.S.","Maciel, W.R.S.",locality,county
168168805,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.600664,-53.794748,-29.600664,-53.794748,-29.600664,-53.794748,Brazil,brazil,rio grande do sul,no.info,itaara   rs  brasil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Sautter, F.T.","Sautter, F.T.",locality,state
169371355,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-26.452958,-52.56375,-26.452958,-52.56375,-26.452958,-52.56375,Brazil,brazil,santa catarina,no.info,vila milani  sao domingos   sc  89835 000  brasil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Hentz, A.","Hentz, A.",locality,state
172777476,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.767288,-49.204259,-25.767288,-49.204259,-25.767288,-49.204259,Brazil,brazil,parana,no.info,marcelino  sao jose dos pinhais   pr  brasil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Dorocinski, C.","Colodel, C.",locality,state
172777609,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.77537,-49.198728,-25.77537,-49.198728,-25.77537,-49.198728,Brazil,brazil,parana,no.info,marcelino  sao jose dos pinhais   pr  brasil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Dorocinski, C.","Colodel, C.",locality,state
170932275,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-22.202109,-42.719667,-22.202109,-42.719667,-22.202109,-42.719667,Brazil,brazil,rio de janeiro,no.info,rio de janeiro  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Santore, J.","Santore, J.",locality,state
171194931,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-32.035933,-52.101425,-32.035933,-52.101425,-32.035933,-52.101425,Brazil,brazil,rio grande do sul,no.info,rua general canabarro  rio grande  rs  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Isabellaxx,Isabellaxx,locality,state
171267832,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-26.631455,-54.103283,-26.631455,-54.103283,-26.631455,-54.103283,Argentina,argentina,misiones,no.info,san pedro  misiones  ar,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Mikejordan,Mikejordan,locality,state
171388320,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-32.035906,-52.101574,-32.035906,-52.101574,-32.035906,-52.101574,Brazil,brazil,rio grande do sul,no.info,rua general canabarro  rio grande  rs  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Tete_souza,"Mailhos, S.",locality,state
174773317,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-35.794203,-70.818105,-35.794203,-70.818105,-35.794203,-70.818105,Chile,chile,maule,no.info,san clemente  maule  chile,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Cesar,"Diego Almendras, G.",locality,state
175644052,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-26.518917,-53.986845,-26.518917,-53.986845,-26.518917,-53.986845,Argentina,argentina,misiones,no.info,san pedro  misiones  argentina,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Bardi, C.","Bardi, C.",locality,state
176103671,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.320995,-50.857785,-29.320995,-50.857785,-29.320995,-50.857785,Brazil,brazil,rio grande do sul,no.info,gramado  rs  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Sly, N.","Sly, N.",locality,state
176250063,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-22.811047,-46.282312,-22.811047,-46.282312,-22.811047,-46.282312,Brazil,brazil,minas gerais,no.info,rodovia fernao dias  extrema  mg  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Ambrozio, A.","Ambrozio, A.",locality,state
176347751,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.368747,-50.880839,-29.368747,-50.880839,-29.368747,-50.880839,Brazil,brazil,rio grande do sul,no.info,floresta  gramado   rs  95670 000  brazil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Bateman, H.L.","Bateman, H.L.",locality,state
176431951,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.31806,-50.896643,-29.31806,-50.896643,-29.31806,-50.896643,Brazil,brazil,rio grande do sul,no.info,gramado  rs  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Sly, N.","Sly, N.",locality,state
176506255,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.074814,-51.828475,-25.074814,-51.828475,-25.074814,-51.828475,Brazil,brazil,parana,no.info,campina do simao  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Silverio, A.","Silverio, A.",locality,state
